date,time,away_team,home_team,away_odds,home_odds,away_score,home_score
19 May 2026,,Chicago White Sox,Seattle Mariners,+114,-135,2,1
19 May 2026,,Los Angeles Dodgers,San Diego Padres,-169,+145,5,4
19 May 2026,,Athletics,Los Angeles Angels,+120,-141,14,6
19 May 2026,,Texas Rangers,Colorado Rockies,-109,-110,10,0
19 May 2026,,Pittsburgh Pirates,St.Louis Cardinals,-105,-111,6,9
19 May 2026,,Boston Red Sox,Kansas City Royals,-135,+114,7,1
19 May 2026,,Milwaukee Brewers,Chicago Cubs,-125,+104,5,2
19 May 2026,,Houston Astros,Minnesota Twins,+114,-135,2,1
19 May 2026,,Toronto Blue Jays,New York Yankees,+114,-130,4,5
19 May 2026,,New York Mets,Washington Nationals,-141,+120,6,9
19 May 2026,,Baltimore Orioles,Tampa Bay Rays,-101,-115,1,4
19 May 2026,,Cincinnati Reds,Philadelphia Phillies,+124,-141,4,1
19 May 2026,,Cleveland Guardians,Detroit Tigers,-159,+135,4,3
19 May 2026,,Atlanta Braves,Miami Marlins,-141,+120,8,4
18 May 2026,,San Francisco Giants,Arizona Diamondbacks,+114,-135,2,12
18 May 2026,,Chicago White Sox,Seattle Mariners,+135,-159,1,6
18 May 2026,,Los Angeles Dodgers,San Diego Padres,-143,+125,0,1
18 May 2026,,Athletics,Los Angeles Angels,-130,+110,1,2
18 May 2026,,Texas Rangers,Colorado Rockies,-135,+114,6,7
18 May 2026,,Milwaukee Brewers,Chicago Cubs,+135,-159,9,3
18 May 2026,,Houston Astros,Minnesota Twins,-105,-115,3,6
18 May 2026,,Boston Red Sox,Kansas City Royals,-111,-102,3,1
18 May 2026,,Toronto Blue Jays,New York Yankees,+146,-164,6,7
18 May 2026,,New York Mets,Washington Nationals,-125,+104,16,7
18 May 2026,,Atlanta Braves,Miami Marlins,-105,-110,0,12
18 May 2026,,Baltimore Orioles,Tampa Bay Rays,+120,-139,6,16
18 May 2026,,Cincinnati Reds,Philadelphia Phillies,+104,-125,4,5
18 May 2026,,Cleveland Guardians,Detroit Tigers,+134,-149,8,2
17 May 2026,,San Diego Padres,Seattle Mariners,+129,-149,8,3
17 May 2026,,Los Angeles Dodgers,Los Angeles Angels,-149,+125,10,1
17 May 2026,,San Francisco Giants,Athletics,+125,-149,10,1
17 May 2026,,Arizona Diamondbacks,Colorado Rockies,-143,+125,8,6
17 May 2026,,Kansas City Royals,St.Louis Cardinals,+100,-120,2,0
17 May 2026,,Chicago Cubs,Chicago White Sox,-125,+110,8,9
17 May 2026,,Texas Rangers,Houston Astros,-125,+104,8,0
17 May 2026,,Milwaukee Brewers,Minnesota Twins,-130,+120,4,5
17 May 2026,,Cincinnati Reds,Cleveland Guardians,+135,-159,3,10
17 May 2026,,Toronto Blue Jays,Detroit Tigers,-115,-102,4,1
17 May 2026,,New York Yankees,New York Mets,+110,-115,6,7
17 May 2026,,Boston Red Sox,Atlanta Braves,+125,-143,1,8
17 May 2026,,Baltimore Orioles,Washington Nationals,-118,+100,7,3
17 May 2026,,Philadelphia Phillies,Pittsburgh Pirates,+110,-130,6,0
17 May 2026,,Miami Marlins,Tampa Bay Rays,+125,-149,3,6
16 May 2026,,San Francisco Giants,Athletics,+114,-133,6,4
16 May 2026,,Los Angeles Dodgers,Los Angeles Angels,-133,+114,15,2
16 May 2026,,Boston Red Sox,Atlanta Braves,+106,-120,3,2
16 May 2026,,New York Yankees,New York Mets,-120,+104,3,6
16 May 2026,,San Diego Padres,Seattle Mariners,+145,-169,7,4
16 May 2026,,Chicago Cubs,Chicago White Sox,-110,-108,3,8
16 May 2026,,Texas Rangers,Houston Astros,-154,+129,1,4
16 May 2026,,Milwaukee Brewers,Minnesota Twins,-130,+110,2,1
16 May 2026,,Cincinnati Reds,Cleveland Guardians,+125,-149,4,7
16 May 2026,,Miami Marlins,Tampa Bay Rays,+114,-133,10,5
16 May 2026,,Baltimore Orioles,Washington Nationals,-110,-108,3,13
16 May 2026,,Philadelphia Phillies,Pittsburgh Pirates,-169,+145,6,0
16 May 2026,,Arizona Diamondbacks,Colorado Rockies,-141,+120,2,4
16 May 2026,,Kansas City Royals,St.Louis Cardinals,-105,-110,2,4
16 May 2026,,Toronto Blue Jays,Detroit Tigers,-101,-115,2,1
15 May 2026,,San Francisco Giants,Athletics,+114,-133,2,5
15 May 2026,,San Diego Padres,Seattle Mariners,+114,-133,2,0
15 May 2026,,Los Angeles Dodgers,Los Angeles Angels,-182,+160,6,0
15 May 2026,,Arizona Diamondbacks,Colorado Rockies,-118,+100,9,1
15 May 2026,,Kansas City Royals,St.Louis Cardinals,-111,-105,4,5
15 May 2026,,Texas Rangers,Houston Astros,-115,-105,0,2
15 May 2026,,Chicago Cubs,Chicago White Sox,-125,+104,10,5
15 May 2026,,Boston Red Sox,Atlanta Braves,+125,-145,2,3
15 May 2026,,New York Yankees,New York Mets,-143,+129,5,2
15 May 2026,,Cincinnati Reds,Cleveland Guardians,+120,-141,7,6
15 May 2026,,Miami Marlins,Tampa Bay Rays,+106,-120,2,7
15 May 2026,,Milwaukee Brewers,Minnesota Twins,-110,-110,3,2
15 May 2026,,Baltimore Orioles,Washington Nationals,-141,+120,2,3
15 May 2026,,Toronto Blue Jays,Detroit Tigers,-125,+104,2,3
15 May 2026,,Philadelphia Phillies,Pittsburgh Pirates,+114,-135,11,9
14 May 2026,,San Francisco Giants,Los Angeles Dodgers,+152,-179,2,5
14 May 2026,,Kansas City Royals,Chicago White Sox,-130,+112,2,6
14 May 2026,,Chicago Cubs,Atlanta Braves,+175,-189,2,0
14 May 2026,,Philadelphia Phillies,Boston Red Sox,+102,-118,3,1
14 May 2026,,St.Louis Cardinals,Athletics,+104,-120,5,4
14 May 2026,,Seattle Mariners,Houston Astros,-115,-102,8,3
14 May 2026,,Miami Marlins,Minnesota Twins,-110,-105,1,9
14 May 2026,,San Diego Padres,Milwaukee Brewers,+120,-133,1,7
14 May 2026,,Detroit Tigers,New York Mets,+135,-159,4,9
14 May 2026,,Washington Nationals,Cincinnati Reds,+135,-149,1,15
14 May 2026,,Colorado Rockies,Pittsburgh Pirates,+148,-169,2,7
13 May 2026,,San Francisco Giants,Los Angeles Dodgers,+210,-250,0,4
13 May 2026,,St.Louis Cardinals,Athletics,+120,-139,2,6
13 May 2026,,Seattle Mariners,Houston Astros,-132,+120,3,4
13 May 2026,,Arizona Diamondbacks,Texas Rangers,-110,-105,5,6
13 May 2026,,Kansas City Royals,Chicago White Sox,-115,-105,5,6
13 May 2026,,Miami Marlins,Minnesota Twins,-130,+110,9,5
13 May 2026,,San Diego Padres,Milwaukee Brewers,+140,-164,3,1
13 May 2026,,Chicago Cubs,Atlanta Braves,-132,+114,1,4
13 May 2026,,Detroit Tigers,New York Mets,+104,-115,2,3
13 May 2026,,Tampa Bay Rays,Toronto Blue Jays,+125,-143,3,5
13 May 2026,,Philadelphia Phillies,Boston Red Sox,+110,-130,1,3
13 May 2026,,Washington Nationals,Cincinnati Reds,+152,-175,8,7
13 May 2026,,Colorado Rockies,Pittsburgh Pirates,+154,-182,10,4
13 May 2026,,Los Angeles Angels,Cleveland Guardians,+135,-149,2,4
13 May 2026,,New York Yankees,Baltimore Orioles,-159,+140,0,7
12 May 2026,,San Francisco Giants,Los Angeles Dodgers,+273,-333,6,2
12 May 2026,,St.Louis Cardinals,Athletics,+140,-156,6,4
12 May 2026,,Seattle Mariners,Houston Astros,-182,+170,10,2
12 May 2026,,Arizona Diamondbacks,Texas Rangers,+108,-125,4,7
12 May 2026,,Kansas City Royals,Chicago White Sox,-115,-102,5,6
12 May 2026,,Miami Marlins,Minnesota Twins,-110,-105,0,3
12 May 2026,,San Diego Padres,Milwaukee Brewers,+125,-149,4,6
12 May 2026,,Chicago Cubs,Atlanta Braves,+102,-118,2,5
12 May 2026,,Detroit Tigers,New York Mets,+125,-145,2,10
12 May 2026,,Tampa Bay Rays,Toronto Blue Jays,-119,+100,7,6
12 May 2026,,Philadelphia Phillies,Boston Red Sox,-135,+118,2,1
12 May 2026,,Washington Nationals,Cincinnati Reds,+124,-141,10,4
12 May 2026,,Colorado Rockies,Pittsburgh Pirates,+240,-294,1,3
12 May 2026,,New York Yankees,Baltimore Orioles,-135,+119,6,2
12 May 2026,,Los Angeles Angels,Cleveland Guardians,+118,-135,2,3
11 May 2026,,San Francisco Giants,Los Angeles Dodgers,+160,-189,9,3
11 May 2026,,Seattle Mariners,Houston Astros,-149,+129,3,1
11 May 2026,,Arizona Diamondbacks,Texas Rangers,-105,-110,1,0
11 May 2026,,Tampa Bay Rays,Toronto Blue Jays,+100,-118,8,5
11 May 2026,,New York Yankees,Baltimore Orioles,-149,+129,2,3
11 May 2026,,Los Angeles Angels,Cleveland Guardians,+145,-169,2,7
10 May 2026,,Detroit Tigers,Kansas City Royals,+110,-130,6,3
10 May 2026,,New York Mets,Arizona Diamondbacks,-105,-115,1,5
10 May 2026,,Atlanta Braves,Los Angeles Dodgers,+120,-139,7,2
10 May 2026,,St.Louis Cardinals,San Diego Padres,+114,-130,2,3
10 May 2026,,Pittsburgh Pirates,San Francisco Giants,+104,-125,6,7
10 May 2026,,Chicago Cubs,Texas Rangers,+102,-120,0,3
10 May 2026,,Seattle Mariners,Chicago White Sox,-133,+120,1,2
10 May 2026,,New York Yankees,Milwaukee Brewers,+100,-115,3,4
10 May 2026,,Houston Astros,Cincinnati Reds,+100,-110,0,5
10 May 2026,,Minnesota Twins,Cleveland Guardians,+140,-164,5,4
10 May 2026,,Los Angeles Angels,Toronto Blue Jays,+100,-118,6,1
10 May 2026,,Athletics,Baltimore Orioles,-102,-102,1,2
10 May 2026,,Tampa Bay Rays,Boston Red Sox,+129,-149,4,1
10 May 2026,,Colorado Rockies,Philadelphia Phillies,+250,-303,0,6
10 May 2026,,Washington Nationals,Miami Marlins,+114,-135,2,5
09 May 2026,,Atlanta Braves,Los Angeles Dodgers,+154,-185,7,2
09 May 2026,,Pittsburgh Pirates,San Francisco Giants,-110,-110,13,3
09 May 2026,,New York Mets,Arizona Diamondbacks,-110,-110,1,2
09 May 2026,,St.Louis Cardinals,San Diego Padres,+120,-139,2,4
09 May 2026,,Seattle Mariners,Chicago White Sox,-125,+110,1,6
09 May 2026,,Detroit Tigers,Kansas City Royals,+114,-132,1,5
09 May 2026,,New York Yankees,Milwaukee Brewers,-133,+114,3,4
09 May 2026,,Chicago Cubs,Texas Rangers,-130,+110,0,6
09 May 2026,,Minnesota Twins,Cleveland Guardians,+102,-120,2,1
09 May 2026,,Colorado Rockies,Philadelphia Phillies,+156,-185,3,9
09 May 2026,,Houston Astros,Cincinnati Reds,+140,-159,1,3
09 May 2026,,Washington Nationals,Miami Marlins,+140,-159,7,8
09 May 2026,,Athletics,Baltimore Orioles,+104,-120,6,2
09 May 2026,,Los Angeles Angels,Toronto Blue Jays,+154,-182,1,14
08 May 2026,,Pittsburgh Pirates,San Francisco Giants,-102,-110,2,5
08 May 2026,,Atlanta Braves,Los Angeles Dodgers,-110,-110,1,3
08 May 2026,,St.Louis Cardinals,San Diego Padres,+125,-143,6,0
08 May 2026,,New York Mets,Arizona Diamondbacks,-123,+104,3,1
08 May 2026,,Chicago Cubs,Texas Rangers,-128,+110,7,1
08 May 2026,,Seattle Mariners,Chicago White Sox,-135,+114,12,8
08 May 2026,,Detroit Tigers,Kansas City Royals,+125,-149,3,4
08 May 2026,,New York Yankees,Milwaukee Brewers,-120,+106,0,6
08 May 2026,,Minnesota Twins,Cleveland Guardians,+125,-149,4,6
08 May 2026,,Tampa Bay Rays,Boston Red Sox,+114,-130,0,2
08 May 2026,,Washington Nationals,Miami Marlins,+120,-141,3,2
08 May 2026,,Los Angeles Angels,Toronto Blue Jays,+135,-156,0,2
08 May 2026,,Athletics,Baltimore Orioles,+118,-130,4,3
08 May 2026,,Colorado Rockies,Philadelphia Phillies,+190,-233,9,7
08 May 2026,,Houston Astros,Cincinnati Reds,+110,-128,10,0
07 May 2026,,St.Louis Cardinals,San Diego Padres,+140,-161,2,1
07 May 2026,,Tampa Bay Rays,Boston Red Sox,+100,-110,8,4
07 May 2026,,Athletics,Philadelphia Phillies,+114,-130,12,1
07 May 2026,,Baltimore Orioles,Miami Marlins,+104,-125,3,4
07 May 2026,,Pittsburgh Pirates,Arizona Diamondbacks,-103,-115,4,2
07 May 2026,,New York Mets,Colorado Rockies,-143,+125,2,6
07 May 2026,,Cincinnati Reds,Chicago Cubs,+169,-200,3,8
07 May 2026,,Cleveland Guardians,Kansas City Royals,+110,-130,8,5
07 May 2026,,Minnesota Twins,Washington Nationals,+104,-125,5,7
07 May 2026,,Texas Rangers,New York Yankees,+131,-149,2,9
06 May 2026,,Pittsburgh Pirates,Arizona Diamondbacks,-125,+110,1,0
06 May 2026,,New York Mets,Colorado Rockies,-154,+133,10,5
06 May 2026,,Cincinnati Reds,Chicago Cubs,+145,-169,6,7
06 May 2026,,Cleveland Guardians,Kansas City Royals,+120,-135,3,1
06 May 2026,,Texas Rangers,New York Yankees,+145,-169,6,1
06 May 2026,,Minnesota Twins,Washington Nationals,-120,+104,2,15
06 May 2026,,Athletics,Philadelphia Phillies,+145,-164,3,6
06 May 2026,,Baltimore Orioles,Miami Marlins,+118,-130,7,4
06 May 2026,,Boston Red Sox,Detroit Tigers,-110,-110,4,0
06 May 2026,,Atlanta Braves,Seattle Mariners,+117,-130,1,3
06 May 2026,,Chicago White Sox,Los Angeles Angels,-114,-105,2,8
06 May 2026,,San Diego Padres,San Francisco Giants,+100,-115,5,1
06 May 2026,,Los Angeles Dodgers,Houston Astros,-222,+179,12,2
06 May 2026,,Milwaukee Brewers,St.Louis Cardinals,-110,-105,6,2
06 May 2026,,Toronto Blue Jays,Tampa Bay Rays,+124,-130,0,3
05 May 2026,,San Diego Padres,San Francisco Giants,+125,-139,10,5
05 May 2026,,Pittsburgh Pirates,Arizona Diamondbacks,+114,-130,0,9
05 May 2026,,Atlanta Braves,Seattle Mariners,+110,-130,3,2
05 May 2026,,Chicago White Sox,Los Angeles Angels,-103,-110,3,4
05 May 2026,,Los Angeles Dodgers,Houston Astros,-222,+184,1,2
05 May 2026,,Cincinnati Reds,Chicago Cubs,+140,-164,2,3
05 May 2026,,Cleveland Guardians,Kansas City Royals,-115,-102,3,5
05 May 2026,,Texas Rangers,New York Yankees,+114,-130,4,7
05 May 2026,,Minnesota Twins,Washington Nationals,-115,+100,11,3
05 May 2026,,Athletics,Philadelphia Phillies,+179,-200,1,9
05 May 2026,,Baltimore Orioles,Miami Marlins,+125,-139,9,7
05 May 2026,,Boston Red Sox,Detroit Tigers,+133,-149,10,3
05 May 2026,,Toronto Blue Jays,Tampa Bay Rays,+104,-120,3,4
04 May 2026,,San Diego Padres,San Francisco Giants,-130,+110,2,3
04 May 2026,,Atlanta Braves,Seattle Mariners,+120,-133,4,5
04 May 2026,,Chicago White Sox,Los Angeles Angels,+133,-149,6,0
04 May 2026,,Los Angeles Dodgers,Houston Astros,-200,+170,8,3
04 May 2026,,Milwaukee Brewers,St.Louis Cardinals,-125,+110,3,6
04 May 2026,,Cincinnati Reds,Chicago Cubs,+185,-222,4,5
04 May 2026,,Cleveland Guardians,Kansas City Royals,-102,-115,2,6
04 May 2026,,Baltimore Orioles,New York Yankees,+195,-222,1,12
04 May 2026,,Boston Red Sox,Detroit Tigers,-125,+104,5,4
04 May 2026,,Philadelphia Phillies,Miami Marlins,-105,-110,1,0
04 May 2026,,Toronto Blue Jays,Tampa Bay Rays,+110,-125,1,5
04 May 2026,,New York Mets,Colorado Rockies,-135,+125,4,2
03 May 2026,,Texas Rangers,Detroit Tigers,+100,-120,1,7
03 May 2026,,Chicago White Sox,San Diego Padres,+145,-161,3,4
03 May 2026,,Kansas City Royals,Seattle Mariners,-105,-112,4,1
03 May 2026,,New York Mets,Los Angeles Angels,-130,+114,5,1
03 May 2026,,Cleveland Guardians,Athletics,-125,+104,1,7
03 May 2026,,Atlanta Braves,Colorado Rockies,-139,+120,11,6
03 May 2026,,Arizona Diamondbacks,Chicago Cubs,+129,-149,4,8
03 May 2026,,Los Angeles Dodgers,St.Louis Cardinals,-135,+120,4,1
03 May 2026,,Philadelphia Phillies,Miami Marlins,-139,+120,7,2
03 May 2026,,San Francisco Giants,Tampa Bay Rays,+106,-120,1,2
03 May 2026,,Baltimore Orioles,New York Yankees,+240,-294,3,11
03 May 2026,,Houston Astros,Boston Red Sox,+150,-179,3,1
03 May 2026,,Cincinnati Reds,Pittsburgh Pirates,+104,-120,0,1
03 May 2026,,Milwaukee Brewers,Washington Nationals,-143,+129,2,3
03 May 2026,,Toronto Blue Jays,Minnesota Twins,-105,-110,3,4
02 May 2026,,Kansas City Royals,Seattle Mariners,+120,-139,3,2
02 May 2026,,New York Mets,Los Angeles Angels,-120,+104,3,4
02 May 2026,,Chicago White Sox,San Diego Padres,+156,-179,4,0
02 May 2026,,Atlanta Braves,Colorado Rockies,-222,+185,9,1
02 May 2026,,Texas Rangers,Detroit Tigers,+114,-130,1,5
02 May 2026,,Los Angeles Dodgers,St.Louis Cardinals,-130,+114,2,3
02 May 2026,,San Francisco Giants,Tampa Bay Rays,-114,-105,1,5
02 May 2026,,Houston Astros,Boston Red Sox,+120,-139,6,3
02 May 2026,,Philadelphia Phillies,Miami Marlins,+114,-130,0,4
02 May 2026,,Cleveland Guardians,Athletics,+114,-130,14,6
02 May 2026,,Cincinnati Reds,Pittsburgh Pirates,+120,-135,7,17
02 May 2026,,Milwaukee Brewers,Washington Nationals,-130,+114,4,1
02 May 2026,,Arizona Diamondbacks,Chicago Cubs,+145,-169,0,2
02 May 2026,,Toronto Blue Jays,Minnesota Twins,-139,+120,11,4
02 May 2026,,Baltimore Orioles,New York Yankees,+145,-169,4,9
01 May 2026,,Kansas City Royals,Seattle Mariners,+120,-135,7,6
01 May 2026,,Cleveland Guardians,Athletics,-115,+100,8,5
01 May 2026,,Chicago White Sox,San Diego Padres,+125,-143,8,2
01 May 2026,,New York Mets,Los Angeles Angels,-105,-110,4,3
01 May 2026,,Atlanta Braves,Colorado Rockies,-169,+145,8,6
01 May 2026,,Los Angeles Dodgers,St.Louis Cardinals,-169,+145,2,7
01 May 2026,,Toronto Blue Jays,Minnesota Twins,-105,-110,7,3
01 May 2026,,Houston Astros,Boston Red Sox,+104,-120,1,3
01 May 2026,,Philadelphia Phillies,Miami Marlins,-115,-105,6,5
01 May 2026,,San Francisco Giants,Tampa Bay Rays,+118,-135,0,3
01 May 2026,,Baltimore Orioles,New York Yankees,+160,-185,2,7
01 May 2026,,Cincinnati Reds,Pittsburgh Pirates,+117,-135,1,9
01 May 2026,,Milwaukee Brewers,Washington Nationals,-159,+135,6,1
01 May 2026,,Texas Rangers,Detroit Tigers,+102,-115,5,4
01 May 2026,,Arizona Diamondbacks,Chicago Cubs,+125,-143,5,6
30 Apr 2026,,Toronto Blue Jays,Minnesota Twins,-132,+114,1,7
30 Apr 2026,,San Francisco Giants,Philadelphia Phillies,+120,-143,5,6
30 Apr 2026,,Houston Astros,Baltimore Orioles,+114,-133,11,5
30 Apr 2026,,Kansas City Royals,Athletics,+104,-125,3,6
30 Apr 2026,,Arizona Diamondbacks,Milwaukee Brewers,+114,-120,1,13
30 Apr 2026,,Washington Nationals,New York Mets,+170,-185,5,4
